token,aap,frequency
.,0.012315359,56300224
",",0.072481126,35867783
de,-0.0024243891,27001097
het,0.016086057,19155922
’,0.03293781,18600674
‘,0.015039463,18434851
en,0.05075083,17620401
een,0.0298935,17441156
ze,0.022533339,17212652
hij,0.006597191,14993163
dat,-0.017693594,14443985
ik,-0.0496824,13583707
haar,0.025545828,12628969
van,0.0039885417,12411900
in,0.0055279024,11256988
zijn,-0.0013364772,10703190
te,-0.0034281798,10079553
niet,-0.057802044,9394493
was,-0.0006200018,9321355
je,-0.03374584,9225734
op,0.011553541,8893766
met,0.018672016,7196210
?,0.007616299,6828504
die,0.006170444,6765262
had,-0.011212073,6656359
maar,-0.011363506,6198332
om,-0.0042973235,5342834
is,-0.013729292,5129287
aan,-0.0018007858,5027626
naar,-0.0028741136,4884151
voor,0.03056854,4765724
er,0.0030398965,4723757
hem,-0.019900706,4411455
als,0.0064170286,4402132
wat,-0.018312953,3889105
zich,-0.0054778904,3447352
nog,-0.01479103,3163610
zou,-0.0037371835,3153331
zo,0.011457816,3103490
mijn,-0.032044187,3042241
zei,-0.009569721,2871544
dan,-0.015781045,2834119
me,-0.051672317,2736148
uit,-0.032143913,2733957
over,-0.01996382,2619134
ook,0.00955078,2577458
toen,0.0005451068,2379334
bij,0.015800713,2372691
we,0.039051455,2367846
of,-0.08923596,2252889
door,-0.047043078,2222503
al,0.006835934,2103861
wel,-0.004684292,2071555
geen,-0.033162493,2069675
heb,-0.021599125,1932508
nu,-0.025484934,1856343
kon,-0.0034596566,1761677
meer,-0.01811108,1640467
:,0.011297008,1565061
weer,0.009340479,1511057
!,-0.026008442,1447094
hoe,-0.0324438,1440623
hebben,-0.017657556,1422317
iets,-0.038410358,1419169
heeft,-0.045062806,1403192
tegen,-0.058220547,1358947
waren,0.014301926,1344762
ben,-0.0303599,1341357
dit,0.017287277,1339877
tot,0.012714183,1318656
waar,0.024497725,1316502
daar,0.016616866,1212823
wilde,-0.0064275144,1212609
goed,0.05385258,1184819
keek,-0.018387966,1169337
alleen,-0.017302185,1165324
–,0.058787316,1158813
gaan,-0.0056940718,1156804
hun,0.029479094,1154878
…,0.012425715,1146019
ogen,0.028775997,1145888
kunnen,0.00087860227,1109265
kan,-0.018540211,1093417
weet,-0.032965004,1073764
doen,-0.041233182,1050495
hier,0.019935578,1038684
toch,-0.036950096,1035619
ging,0.010828868,1007522
vroeg,-0.058697604,1005513
werd,-0.01984665,1000708
moest,-0.025476156,993032
even,0.022814654,987197
moet,-0.025568383,976712
man,0.030196927,945184
nooit,-0.029987112,940561
af,-0.076804526,932390
u,-0.00025096163,928379
jij,-0.016647153,924157
wil,-0.0055256803,923094
’s,-0.017018108,921302
mij,-0.008477874,912735
veel,0.022530988,912500
wist,-0.028780796,900805
niets,-0.05145377,898186
zag,-0.008544091,895337
andere,-0.03266481,889330
geweest,0.010437202,884678
toe,-0.00084607676,873403
zien,-0.016458958,868636
terwijl,0.010352589,863306
misschien,-0.04079649,861589
heel,0.10287693,849229
kwam,-0.016549684,844274
ja,0.030255727,830107
zij,0.056579873,828743
deze,0.01187012,825072
omdat,-0.074931875,818111
weg,-0.069388285,815888
na,0.013272304,810137
worden,-0.029561222,802735
hoofd,-0.029569387,799825
alles,0.028092504,799233
hand,0.02217722,794876
stond,-0.019049041,782162
hadden,0.012882649,776662
eens,-0.02649149,774629
tijd,0.061230034,765361
laten,-0.024663478,749766
elkaar,0.033421576,737606
vrouw,0.06827849,736985
waarom,-0.11363498,730611
twee,0.013050351,718416
leven,0.046441004,717383
zal,0.0001842361,717010
dacht,-0.04635931,716812
altijd,0.076403245,714549
dus,-0.016014472,710268
net,0.035353083,709697
ons,0.017035708,704368
onder,-0.02305112,700723
nee,-0.0693672,696755
komen,-0.042513255,686434
moeten,-0.03856067,684535
deed,-0.0041693747,678920
maken,-0.011017382,675221
voelde,-0.020872518,671324
alsof,-0.041092273,668373
gezicht,-0.0012371987,664236
echt,-0.007699907,655837
terug,-0.004672274,654448
hebt,-0.010020628,650914
mee,-0.011952783,641796
achter,-0.05938781,631178
keer,-0.034758404,625408
moeder,0.015073076,622731
vader,-0.014905237,621275
huis,0.029373199,619964
paar,0.02041569,617555
bent,0.0012731906,607641
zeggen,-0.052750736,604134
blik,0.021943085,587338
mensen,0.014590606,586743
liep,-0.0045006946,585140
iemand,-0.045551762,582921
zonder,-0.036513697,572424
heen,-0.027870715,572087
wie,-0.033697613,566586
steeds,-0.02597273,562832
anders,-0.018293425,562157
liet,0.006437421,545839
gaat,-0.016074812,539656
staan,-0.04306288,534926
helemaal,-0.02420763,534542
zitten,-0.032627627,527629
handen,0.016890315,517254
hen,0.025862437,515192
zoals,0.046944365,514398
alle,0.01609774,513580
zelfs,-0.0077491105,511897
want,-0.015232727,511541
dag,0.03967171,506647
weten,-0.038159505,505666
binnen,0.010603894,497458
zat,-0.031031035,492780
moment,0.012653008,491527
hield,-0.007946551,486419
...,0.056258187,486209
tussen,0.0043841125,485181
bijna,-0.0062035173,471398
leek,0.018378006,469901
deur,-0.031534366,463603
jou,-0.015032463,463423
lang,0.025904514,462929
zeker,-0.021317393,462877
grote,0.040596385,460886
laat,-0.042691566,459609
eerste,0.016468655,458452
zichzelf,-0.01253929,453617
trok,-0.020567305,449661
hele,-0.016704645,447267
jaar,-0.0076302793,446405
zelf,-0.040395282,445598
ga,-0.016361713,443217
begon,-0.014734849,442593
snel,-0.02373668,442385
’n,0.0048692375,442354
maakte,-0.006180644,430995
gewoon,-0.07334884,422359
eigen,-0.014598846,419356
nou,-0.044781737,418421
natuurlijk,-0.0022357404,416299
zegt,-0.032266922,412762
gedaan,-0.02961715,412699
genoeg,0.020342931,412102
nodig,0.029057294,408245
bed,0.007749457,407283
denk,-0.04838819,406172
jullie,0.0027425687,405527
stem,0.014061958,404634
verder,-0.011784533,403898
houden,-0.035102226,398988
wordt,-0.019214451,398395
zouden,0.006360761,397472
allemaal,-0.0069696307,397346
beter,-0.0049615204,393983
gaf,0.013874579,391871
mond,0.046918955,390503
nam,0.03294474,385351
één,-0.010852557,379628
kijken,-0.029664092,379565
vond,0.039676085,379403
bleef,0.002814807,378090
gezegd,-0.03431068,375483
open,-0.034964494,374686
willen,0.0025974326,370291
gezien,-0.015391983,369475
beetje,0.013155278,365417
komt,-0.020314464,362307
onze,0.02862227,359520
vast,0.0033066217,358929
staat,-0.018077819,350802
laatste,-0.005856892,349450
blijven,-0.009876557,346995
later,0.030658036,344038
denken,-0.06785138,344020
werk,0.039854094,342718
enige,0.008523755,340261
hart,-0.0015693605,338810
lichaam,0.05031038,338562
o,0.01352118,338079
erg,0.06671268,338072
manier,0.0074950755,336412
naast,0.01800539,335586
gehad,0.014436067,332040
samen,0.09843406,331535
kamer,0.034142897,331172
wanneer,-0.0014908612,328876
boven,0.023103192,328715
daarna,0.016158521,328639
krijgen,-0.042322747,323015
nemen,-0.011062064,322635
voordat,-0.014459465,321864
geven,-0.018631399,321115
buiten,-0.0041494295,317114
ooit,0.016089529,316194
eerst,-0.003475096,313967
auto,-0.018071042,312868
armen,0.038450133,309387
uur,0.004674688,306849
kinderen,0.025872432,304312
gevoel,0.024324507,303163
niemand,-0.041617617,302220
drie,0.0099413395,300890
langs,-0.0007253215,300393
meteen,-0.061787847,299496
plaats,0.0153883565,299288
haalde,-0.034032956,298913
dingen,-0.014196917,298515
eigenlijk,-0.031178094,298009
hoorde,-0.05998986,295369
vragen,-0.053252757,292373
probeerde,-0.06256052,290951
vinden,0.01990433,290699
graag,0.07756634,289722
lag,-0.0025662184,288391
kind,-0.0034940839,286879
woorden,-0.008771837,286751
iedereen,0.03193678,286597
idee,-0.0058849454,284601
nieuwe,0.084048,284506
draaide,-0.027032167,282543
kom,-0.00082238764,281620
zodat,0.002402123,279691
vertellen,-0.066646725,279135
precies,0.03901402,276657
praten,-0.02318104,274233
kleine,0.09615579,273940
kunt,0.012869405,273680
mannen,0.008810185,271208
kreeg,-0.024860416,269255
zit,-0.04543227,268718
legde,0.012506425,265133
pakte,-0.0066233426,263154
pas,-0.0075947093,259737
duidelijk,-0.014988914,258886
vraag,-0.04669473,258652
horen,-0.04316733,256303
lippen,0.06931534,255790
doe,-0.042730905,255412
(,0.066468894,254322
echter,0.021574058,253679
kant,-0.008450216,253332
zeg,-0.051258333,251444
geval,0.010072771,250711
geleden,0.0100803515,249697
oude,0.019424187,249474
geld,-0.019043736,247646
water,0.026150577,247525
elke,0.01373306,247048
knikte,0.04324256,244968
wereld,0.07598567,244938
vol,0.02694914,244714
hoewel,0.04280694,243308
eten,0.046067193,242757
