token,valence
nu,-0.021193206
november,0.0037799869
1997,0.005167
er,-0.019881412
viel,-0.020619275
niets,-0.029810905
meer,-0.04102327
te,-0.05164599
zeggen,0.00941064
.,0.10350264
hij,-0.056373425
bedekte,-0.034628987
haar,-0.14826669
lichaam,-0.09484936
met,0.04162439
het,0.0001924336
zijne,-0.011342749
",",0.04022859
en,-0.02212527
terwijl,-0.054173063
ze,-0.071419835
armen,-0.05210623
om,-0.016768869
hem,-0.161322
heen,-0.08715212
sloeg,-0.054114338
zag,-0.11088425
voor,0.12889059
zich,-0.11437467
in,0.04583367
al,0.0049091224
zijn,-0.0715347
vormen,0.050761066
:,-0.0051714554
vijf,0.065290295
jaar,-0.009070307
nog,-0.041453287
blond,0.12912712
elf,0.08678278
de,-0.056636192
lucht,-0.08019936
schietend,-0.107027695
dertien,0.02568151
handen,-0.026529945
van,-0.0040036365
een,0.09577707
man,-0.004129976
maan,0.09374442
dreef,0.015857223
schuinstaande,0.03360223
ogen,-0.08232814
langs,0.003451921
nachtelijke,-0.048504386
hemel,0.01813829
ademde,-0.1565246
geur,-0.06701983
huid,-0.047005318
‘,0.057302725
ik,0.026686616
hou,0.017943509
je,0.034765627
’,0.062581584
zei,0.064665064
kuste,0.07732043
zo,-0.014022686
zacht,0.04299766
dat,0.0071101785
afvroeg,-0.075520046
of,-0.13202888
had,-0.09582941
verbeeld,-0.055264696
trok,-0.0319915
iets,-0.062167227
terug,0.03434755
kijken,-0.02562379
toen,-0.041784186
klonk,-0.027552892
schot,-0.031630237
hoewel,-0.040817108
nooit,0.002373904
sprake,0.006700039
was,-0.068174616
geweest,0.028125552
vaste,0.17118737
reservering,0.17022276
werd,-0.15857741
hoektafel,0.16636333
achter,-0.013006136
chinese,0.041375637
restaurant,0.13971117
happy,0.12793213
family,0.053381592
op,0.0078002363
vrijdagavonden,0.16279866
altijd,0.11418359
vrijgehouden,0.16012959
families,-0.0017430857
harte,0.16271193
gold,0.06102969
die,-0.073598325
daar,0.03470728
sinds,-0.033536263
mensenheugenis,-0.009385432
kwamen,-0.030821554
jaren,-0.05734936
geleden,0.076217495
hadden,-0.027058922
hun,-0.06424008
kinderen,0.032726757
meegebracht,0.1279898
kleine,0.12671678
hoek,-0.006300964
volgestouwd,0.092877045
kinderstoelen,0.092705846
bijna,-0.06381188
onmogelijk,-0.025338568
kelners,0.086342804
dampende,-0.02460943
schalen,0.06481503
voedsel,-0.0055473596
tafel,0.08410072
zetten,-0.010515295
waren,-0.054976076
vieren,0.20541802
zes,0.07477784
uur,0.039125815
binnenstormen,0.0070212185
dicht,-0.050421707
naast,0.064249694
elkaar,-0.069352515
neer,0.026829328
alsof,-0.13109073
soort,0.012278037
magnetische,-0.044975903
kracht,-0.050231427
uitoefenden,0.011587143
james,0.059315413
arriveerde,0.12141814
als,0.02046119
eerste,0.057069458
middag,0.080143556
geopereerd,0.0033089723
verrassend,0.1759553
vroeg,-0.0011145612
klaar,0.16923907
pakte,0.014900528
eetstokjes,0.048467744
lagen,-0.047388926
liet,-0.06071084
uit,0.02420786
papieren,0.0034163147
hoesje,0.07117067
glijden,0.011499066
legde,-0.0018314272
tussen,-0.016222663
vingers,-0.02855035
chirurgische,0.030264396
instrumenten,0.09712581
hallo,0.18135592
melanie,0.049499586
plotseling,-0.15949488
tegenover,0.0049708094
verscheen,0.084436715
ben,-0.00094780885
zeker,0.076891266
nee,-0.017593198
antwoordde,0.04327991
anderen,-0.08098581
laat,-0.017155513
echt,0.055094004
?,0.030329479
werkte,0.08749675
jas,-0.04839654
perste,0.019836493
hoopte,0.033849806
geloof,0.018131278
niet,-0.02820146
ooit,0.0042634457
weet,0.014690649
na,0.10373455
even,0.0038291474
hebben,0.010839337
nagedacht,0.015372427
inderdaad,0.16058415
bent,0.04382083
werden,-0.15837641
verbonden,0.011648823
door,-0.09764393
enige,0.02768645
wat,0.009790182
deelden,0.07474351
